,mpg,car name
253,20.5,chevrolet malibu
254,20.2,ford fairmont (auto)
255,25.1,ford fairmont (man)
256,20.5,plymouth volare
257,19.4,amc concord
258,20.6,buick century special
259,20.8,mercury zephyr
260,18.6,dodge aspen
261,18.1,amc concord d/l
262,19.2,chevrolet monte carlo landau
263,17.7,buick regal sport coupe (turbo)
264,18.1,ford futura
265,17.5,dodge magnum xe
266,30.0,chevrolet chevette
267,27.5,toyota corona
268,27.2,datsun 510
269,30.9,dodge omni
270,21.1,toyota celica gt liftback
271,23.2,plymouth sapporo
272,23.8,oldsmobile starfire sx
273,23.9,datsun 200-sx
274,20.3,audi 5000
275,17.0,volvo 264gl
276,21.6,saab 99gle
277,16.2,peugeot 604sl
278,31.5,volkswagen scirocco
279,29.5,honda accord lx
280,21.5,pontiac lemans v6
281,19.8,mercury zephyr 6
282,22.3,ford fairmont 4
283,20.2,amc concord dl 6
284,20.6,dodge aspen 6
285,17.0,chevrolet caprice classic
286,17.6,ford ltd landau
287,16.5,mercury grand marquis
288,18.2,dodge st. regis
289,16.9,buick estate wagon (sw)
290,15.5,ford country squire (sw)
291,19.2,chevrolet malibu classic (sw)
292,18.5,chrysler lebaron town @ country (sw)
293,31.9,vw rabbit custom
294,34.1,maxda glc deluxe
295,35.7,dodge colt hatchback custom
296,27.4,amc spirit dl
297,25.4,mercedes benz 300d
298,23.0,cadillac eldorado
299,27.2,peugeot 504
300,23.9,oldsmobile cutlass salon brougham
301,34.2,plymouth horizon
302,34.5,plymouth horizon tc3
303,31.8,datsun 210
304,37.3,fiat strada custom
305,28.4,buick skylark limited
306,28.8,chevrolet citation
307,26.8,oldsmobile omega brougham
308,33.5,pontiac phoenix
309,41.5,vw rabbit
310,38.1,toyota corolla tercel
311,32.1,chevrolet chevette
312,37.2,datsun 310
313,28.0,chevrolet citation
314,26.4,ford fairmont
315,24.3,amc concord
316,19.1,dodge aspen
317,34.3,audi 4000
318,29.8,toyota corona liftback
319,31.3,mazda 626
320,37.0,datsun 510 hatchback
321,32.2,toyota corolla
322,46.6,mazda glc
323,27.9,dodge colt
324,40.8,datsun 210
325,44.3,vw rabbit c (diesel)
326,43.4,vw dasher (diesel)
327,36.4,audi 5000s (diesel)
328,30.0,mercedes-benz 240d
329,44.6,honda civic 1500 gl
330,40.9,renault lecar deluxe
331,33.8,subaru dl
332,29.8,vokswagen rabbit
333,32.7,datsun 280-zx
334,23.7,mazda rx-7 gs
335,35.0,triumph tr7 coupe
336,23.6,ford mustang cobra
337,32.4,honda accord
338,27.2,plymouth reliant
339,26.6,buick skylark
340,25.8,dodge aries wagon (sw)
341,23.5,chevrolet citation
342,30.0,plymouth reliant
343,39.1,toyota starlet
344,39.0,plymouth champ
345,35.1,honda civic 1300
346,32.3,subaru
347,37.0,datsun 210 mpg
348,37.7,toyota tercel
349,34.1,mazda glc 4
350,34.7,plymouth horizon 4
351,34.4,ford escort 4w
352,29.9,ford escort 2h
353,33.0,volkswagen jetta
354,34.5,renault 18i
355,33.7,honda prelude
356,32.4,toyota corolla
357,32.9,datsun 200sx
358,31.6,mazda 626
359,28.1,peugeot 505s turbo diesel
360,30.7,volvo diesel
361,25.4,toyota cressida
362,24.2,datsun 810 maxima
363,22.4,buick century
364,26.6,oldsmobile cutlass ls
365,20.2,ford granada gl
366,17.6,chrysler lebaron salon
367,28.0,chevrolet cavalier
368,27.0,chevrolet cavalier wagon
369,34.0,chevrolet cavalier 2-door
370,31.0,pontiac j2000 se hatchback
371,29.0,dodge aries se
372,27.0,pontiac phoenix
373,24.0,ford fairmont futura
374,23.0,amc concord dl
375,36.0,volkswagen rabbit l
376,37.0,mazda glc custom l
377,31.0,mazda glc custom
378,38.0,plymouth horizon miser
379,36.0,mercury lynx l
380,36.0,nissan stanza xe
381,36.0,honda accord
382,34.0,toyota corolla
383,38.0,honda civic
384,32.0,honda civic (auto)
385,38.0,datsun 310 gx
386,25.0,buick century limited
387,38.0,oldsmobile cutlass ciera (diesel)
388,26.0,chrysler lebaron medallion
389,22.0,ford granada l
390,32.0,toyota celica gt
391,36.0,dodge charger 2.2
392,27.0,chevrolet camaro
393,27.0,ford mustang gl
394,44.0,vw pickup
395,32.0,dodge rampage
396,28.0,ford ranger
397,31.0,chevy s-10
